file,line,label,pattern,snippet
autodense/plugin/src/main/java/com/betterdairy/autodense/cli/AutotuneAnalysisCLI.java,30,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import net.imagej.ImageJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/cli/AutotuneAnalysisCLI.java,31,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.Context;
autodense/plugin/src/main/java/com/betterdairy/autodense/cli/AutotuneAnalysisCLI.java,32,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.ui.UIService;
autodense/plugin/src/main/java/com/betterdairy/autodense/orchestrator/OpenAiOrchestrator.java,14,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.Context;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/EnhancedImageJLauncher.java,3,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import net.imagej.ImageJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/GelUI.java,3,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.Context;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAiApiClient.java,16,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.Context;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAnalyzeCommand.java,3,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import net.imagej.ImageJ;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAnalyzeCommand.java,4,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.Context;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAnalyzeCommand.java,5,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.command.Command;
autodense/plugin/src/main/java/com/betterdairy/autodense/plugin/OpenAnalyzeCommand.java,6,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.plugin.Parameter;
autodense/plugin/src/main/java/com/betterdairy/autodense/registry/CapabilityRegistry.java,6,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.Context;
autodense/plugin/src/main/java/com/betterdairy/autodense/registry/CapabilityRegistry.java,7,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.plugin.PluginService;
autodense/plugin/src/main/java/com/betterdairy/autodense/registry/CapabilityRegistry.java,8,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.command.Command;
autodense/plugin/src/main/java/com/betterdairy/autodense/registry/CapabilityRegistry.java,9,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.command.CommandService;
autodense/plugin/src/main/java/com/betterdairy/autodense/registry/CapabilityRegistry.java,10,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),import org.scijava.module.ModuleService;
autodense/pom.xml,18,ImageJ/Scijava stack,(?:net\.imagej|imagej-legacy|scifio|scijava),<id>scijava.public</id>
